Temperature,Humidity,Pressure,Windspeed,Winddirection,Directinclined,Diffuseinclined,Reflected,Globalinclined,Directhoriz,Diffushoriz,Globalhoriz,TopAtm,ClearSkiGHI,Nebulosity,EPEX
272.4532,71.0251,1017.9218,4.6521,189.8471,0,0,0,0,0,0,0,0,0,9,37.54
272.52925,71.0138,1017.72825,4.724125,190.87925,0,0,0,0,0,0,0,0,0,9,36.4025
272.6053,71.0025,1017.5347,4.79615,191.9114,0,0,0,0,0,0,0,0,0,9,35.265
272.68135,70.9912,1017.34115,4.868175,192.94355,0,0,0,0,0,0,0,0,0,9,34.1275
272.7574,70.9799,1017.1476,4.9402,193.9757,0,0,0,0,0,0,0,0,0,9,32.99
272.85825,71.059725,1016.94005,5.03375,195.4831,0,0,0,0,0,0,0,0,0,9,32.5525
272.9591,71.13955,1016.7325,5.1273,196.9905,0,0,0,0,0,0,0,0,0,9,32.115
273.05995,71.219375,1016.52495,5.22085,198.4979,0,0,0,0,0,0,0,0,0,9,31.6775
273.1608,71.2992,1016.3174,5.3144,200.0053,0,0,0,0,0,0,0,0,0,9,31.24
273.339075,71.3753,1015.983875,5.4051,201.628875,0,0,0,0,0,0,0,0,0,8.75,32.6075
273.51735,71.4514,1015.65035,5.4958,203.25245,0,0,0,0,0,0,0,0,0,8.5,33.975
273.695625,71.5275,1015.316825,5.5865,204.876025,0,0,0,0,0,0,0,0,0,8.25,35.3425
273.8739,71.6036,1014.9833,5.6772,206.4996,0,0,0,0,0,0,0,0,0,8,36.71
274.1002,71.68835,1014.5652,5.829125,207.78605,0,0.5,0,0.5,0,0.5,0.5,0.75,0,8,37.4
274.3265,71.7731,1014.1471,5.98105,209.0725,0,1,0,1,0,1,1,1.5,0,8,38.09
274.5528,71.85785,1013.729,6.132975,210.35895,0,1.5,0,1.5,0,1.5,1.5,2.25,0,8,38.78
274.7791,71.9426,1013.3109,6.2849,211.6454,0,2,0,2,0,2,2,3,0,8,39.47
275.071875,72.083725,1012.8947,6.58555,214.52235,1.5,7,0,8.5,0.25,7,7.25,34,0,8,40.73
275.36465,72.22485,1012.4785,6.8862,217.3993,3,12,0,15,0.5,12,12.5,65,0,8,41.99
275.657425,72.365975,1012.0623,7.18685,220.27625,4.5,17,0,21.5,0.75,17,17.75,96,0.8227,8,43.25
275.9502,72.5071,1011.6461,7.4875,223.1532,6,22,0,28,1,22,23,127,5.411,8,44.51
276.43745,72.86585,1011.374575,7.841425,226.284225,7.25,29,0.25,36.5,1.75,29.25,31,165.75,10.7429,8,44.495
276.9247,73.2246,1011.10305,8.19535,229.41525,8.5,36,0.5,45,2.5,36.5,39,204.5,16.7633,8,44.48
277.41195,73.58335,1010.831525,8.549275,232.546275,9.75,43,0.75,53.5,3.25,43.75,47,243.25,23.5075,8,44.465
277.8992,73.9421,1010.56,8.9032,235.6773,11,50,1,62,4,51,55,282,30.149,8,44.45
278.582,74.3959,1010.1659,9.18775,237.87185,12.5,56.5,1,70,5,57.75,62.5,309,36.6205,8,44.59
279.2648,74.8497,1009.7718,9.4723,240.0664,14,63,1,78,6,64.5,70,336,42.8002,8,44.73
279.9476,75.3035,1009.3777,9.75685,242.26095,15.5,69.5,1,86,7,71.25,77.5,363,48.5184,8,44.87
280.6304,75.7573,1008.9836,10.0414,244.4555,17,76,1,94,8,78,85,390,53.7084,8,45.01
281.2035,75.715925,1008.641875,10.18685,245.7938,19.25,80.25,1,100.75,9,82,90.25,403.5,58.3236,8,45.0975
281.7766,75.67455,1008.30015,10.3323,247.1321,21.5,84.5,1,107.5,10,86,95.5,417,62.325,8,45.185
282.3497,75.633175,1007.958425,10.47775,248.4704,23.75,88.75,1,114.25,11,90,100.75,430.5,65.6645,8,45.2725
282.9228,75.5918,1007.6167,10.6232,249.8087,26,93,1,121,12,94,106,444,68.3139,8,45.36
283.1084,75.539275,1007.49955,10.67925,250.835375,22.5,87.25,1,111.25,10.25,88.5,98.75,442.75,70.2516,8,45.42
283.294,75.48675,1007.3824,10.7353,251.86205,19,81.5,1,101.5,8.5,83,91.5,441.5,71.4608,8,45.48
283.4796,75.434225,1007.26525,10.79135,252.888725,15.5,75.75,1,91.75,6.75,77.5,84.25,440.25,71.9329,8,45.54
283.6652,75.3817,1007.1481,10.8474,253.9154,12,70,1,82,5,72,77,439,71.7963,8,45.6
283.75735,75.21905,1007.161225,10.8769,255.50625,12.5,69.75,1,82.25,5.25,71.5,76.75,423.25,71.0511,8,45.05
283.8495,75.0564,1007.17435,10.9064,257.0971,13,69.5,1,82.5,5.5,71,76.5,407.5,69.5701,8,44.5
283.94165,74.89375,1007.187475,10.9359,258.68795,13.5,69.25,1,82.75,5.75,70.5,76.25,391.75,67.364,8,43.95
